fAx,H_1
40.5,-4.20551606826996e-07-7.61674407122896e-06i
40.7297451851468,-4.55190849925206e-07-7.81153052540771e-06i
40.9607936505429,-4.93618224092669e-07-8.0208534418954e-06i
41.1931527893331,-5.36419138573218e-07-8.24631768480008e-06i
41.4268300366013,-5.84296507084884e-07-8.4897749525568e-06i
41.6618328696088,-6.38099682273305e-07-8.75337019931509e-06i
41.898168808033,-6.988622471249e-07-9.0396000867576e-06i
42.1358454142087,-7.67852209643406e-07-9.3513884523016e-06i
42.3748702933692,-8.46639221061159e-07-9.69218316997647e-06i
42.6152510938907,-9.37182986246699e-07-1.00660703209649e-05i
42.8569955075362,-1.04195623248627e-06-1.04779311424137e-05i
43.100111269702,-1.16411205364771e-06-1.09336344231116e-05i
43.3446061596651,-1.30772350843414e-06-1.14403052465567e-05i
43.5904880008321,-1.47811781538895e-06-1.20066512288001e-05i
43.8377646609899,-1.68236846665163e-06-1.26434196878822e-05i
44.0864440525568,-1.93001973841244e-06-1.33639945231275e-05i
44.3365341328362,-2.23418876974978e-06-1.4185214742779e-05i
44.5880429042712,-2.61326772101427e-06-1.51284594960781e-05i
44.8409784147002,-3.09363697953551e-06-1.62211127037776e-05i
45.0953487576149,-3.71412394289651e-06-1.74985082045317e-05i
45.3511620724193,-4.53352205576249e-06-1.90062830378136e-05i
45.6084265446896,-5.64380587804152e-06-2.0802885910529e-05i
45.8671504064368,-7.19403300628094e-06-2.2960418413249e-05i
46.1273419363697,-9.43517873544605e-06-2.5558125186344e-05i
46.3890094601599,-1.28052890738764e-05-2.86484522265509e-05i
46.652161350708,-1.80860222902763e-05-3.21300159850426e-05i
46.9168060284121,-2.66257680311441e-05-3.53146313442771e-05i
47.1829519614366,-4.02032672801887e-05-3.56378418919852e-05i
47.4506076659836,-5.8047997659719e-05-2.6505755653801e-05i
47.719781706565,-6.84407605847619e-05-2.51096307284838e-06i
47.990482696277,-5.8743389180994e-05+2.19395309541021e-05i
48.2627192970755,-4.08758651313941e-05+3.16369976157553e-05i
48.5365002200531,-2.70718838361503e-05+3.15346714939271e-05i
48.8118342257182,-1.83646107005251e-05+2.83934866560512e-05i
49.0887301242747,-1.29847506722379e-05+2.49005929220883e-05i
