rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,alpha,beta,L,W,T
425.610974844238,11965462136.9481,1208169125.18666,420000000,745780735.409048,26000000,590000000,0.39,0.64,0.49,5,2e-06,0.57944,0.21538,0.00472
415.837821079792,6558893063.89821,1047013445.17754,400351429.498679,807546651.041094,23962923.5629435,668485678.584024,0.262482234698333,0.801014622769739,0.0292202775621463,92.8854139478045,5.77685838606578e-06,0.577582457284555,0.215460567463854,0.00364767122114293
424.376457707421,12620399487.5772,640913418.541279,409348025.542967,1104638422.08183,26767112.6421928,597323129.587662,0.885168008202475,0.913286827639239,0.796183873585212,9.87122786555743,6.67993695139956e-07,0.578069887559877,0.228455876294697,0.00392054269444435
413.776258863298,13482858716.3458,602803650.384215,479425925.128454,474425312.455441,26516282.377712,705466992.293063,0.500022435590201,0.47992214114606,0.904722238067363,60.9866648422558,3.43845048598333e-06,0.573967897238571,0.206839395647874,0.00504738838045677
478.823039252148,15303070305.4598,1295071494.54637,333014501.007986,600005889.178158,35298394.5901439,304706021.204028,0.0424311375007417,0.0714454646006424,0.521649842464284,9.6730025780867,8.65619643634595e-06,0.579029540852063,0.199315125074768,0.00492573500222728
454.423893226747,15044412024.9329,957657990.423036,476621580.519023,768295859.610444,32443345.9880654,684899803.146888,0.83137974283907,0.80336439160244,0.0604711791698936,39.9257770613576,2.26350603460439e-06,0.57651622453189,0.207170181022006,0.00458456497984149
413.188949256657,13048881685.5093,1353124390.43246,302824843.573544,706217753.678864,9369662.12654003,792729022.76177,0.0526769976807926,0.737858095516997,0.269119426398556,42.2835615008808,2.49328427571897e-06,0.576191282744117,0.229451499351523,0.00512301674711468
457.435355736761,10985322256.5412,1779500275.91191,359401918.875866,819056404.50737,31184926.1408952,605078380.911645,0.669175304534394,0.190433267179954,0.368916546063895,46.0725937260412,1.83783237447768e-05,0.575937110853605,0.216047848509738,0.00491936110212168
388.97371434573,14782138387.565,1320029809.88785,390533634.691727,509299761.872208,23783700.5539159,574655820.004703,0.265280909810029,0.824376266688835,0.98266339972195,73.0248792267598,9.74504847757463e-07,0.5741980725191,0.213517460347705,0.0048439222161671
443.853626505769,8246651144.42113,1888802846.37432,538528754.822369,921936929.843443,19168180.756738,646630996.785673,0.470924256358334,0.695949313301608,0.699887849928292,63.8530758271838,2.33473539744567e-07,0.578223770887548,0.204402959606527,0.00493509060384951
382.1874028653,10360911574.0076,1247914962.4927,562220792.955564,680906080.466261,35840095.601501,674150191.672187,0.266471490779072,0.153656717591307,0.281005302533871,44.0085139001721,2.26628998288396e-06,0.584183014049758,0.213489471051427,0.00452856160856306
422.896295255107,14159934572.2195,1247791403.92328,648565946.735327,815591143.456014,40075051.4194487,462007498.116036,0.844392156527205,0.344462411301042,0.780519652731358,67.5332065747,2.06281663171028e-07,0.57175058117442,0.206069034740216,0.0048622529519521
442.527606399123,9266431728.9475,1757741180.20773,415896619.841495,1111809843.66923,22684543.7732418,694329705.909125,0.191745255461798,0.738426839976942,0.242849598318169,91.7424342049382,6.90483283818649e-07,0.572957619284988,0.211332717708964,0.00480832928015923
434.088696191394,6505526416.70647,945888490.107159,345250460.308639,835573408.60598,33348639.8900482,643186016.264444,0.236230576993797,0.119396247797306,0.607303940685635,45.0137696965896,1.65379236634871e-06,0.581831905202148,0.209002844486912,0.00498888718737383
450.950050840519,15723213550.2442,1136418872.79092,461287448.652307,692464534.006444,27790855.7671185,667879629.153605,0.939829470344921,0.645551874972524,0.479463224948888,63.9316961040108,2.45732283673767e-06,0.575913774742208,0.210617561991152,0.00410054272553878
437.987322122564,12370892857.4732,1367630120.53285,432809467.906243,1369403010.21812,16900012.7644818,261789062.363924,0.93285357027882,0.972740854003014,0.192028349427775,13.8874202829155,4.9381317164115e-06,0.582576708254332,0.217895204649513,0.00498593506057967
347.484177879605,12205095325.8013,1221028690.9966,700623177.849152,730295138.229442,22042880.0960069,631738312.045995,0.242785357820962,0.442402313001943,0.687796085120107,35.9228210401861,5.93895649967068e-06,0.571658878495318,0.208710644079212,0.005191250423313
410.924588389804,15601054844.6688,1436271909.66455,393160099.587227,552094622.827824,17863755.2495665,542197820.161286,0.808514095887345,0.755077099007084,0.377395544835103,21.6018915961394,7.61806074983474e-06,0.576359580391117,0.221664136194955,0.00453512332831228
466.0863018856,10414724446.4059,1443378174.07423,374630386.0546,903711370.062439,37043622.7338054,306000726.65832,0.748705718215691,0.825583815786156,0.789963029944531,31.8524245398992,2.339689631214e-06,0.572271633699191,0.201206956066738,0.00460197389818864
355.867562968137,9237013707.14513,911396963.544995,485485839.904836,742612645.622963,16986870.9273595,588314089.850625,0.879013904597178,0.988911616079589,0.000522375356944771,86.5438591013025,3.35863596841676e-06,0.584562075131976,0.216544717063928,0.00491500250080834
485.717147882692,12046618425.8422,1190818822.14598,634368166.438645,631740782.610759,25977731.3108743,752816473.125732,0.660944557947342,0.729751855317221,0.890752116325322,98.2303222883606,6.90379943985831e-06,0.582723663867582,0.206446331640134,0.00480654403515882
436.971274309097,14268795074.8962,1362386606.15232,254344838.560653,652615295.711041,35552565.0333256,582285595.618299,0.489569989177322,0.192510396062075,0.123083747545945,20.549417090768,3.92699019480561e-07,0.581454090746629,0.214205038228247,0.00438740469285671
375.685431611029,5771799871.25501,1312637608.8701,219132851.246382,770440463.737974,32139120.0755922,589605858.822451,0.564979570738201,0.640311825162758,0.417028951642886,20.5975515532243,1.57360685299426e-05,0.589512086437535,0.212600265385188,0.0041439277512897
