rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,alpha,beta
401.381330344067,14089915239.715,1099013388.69777,605866355.307745,859484829.622615,901754575.34176,42269745.719145,0.467,0.372,0.435,19.0001,1e-06
389.799300683109,10602671752.6651,1384211398.26689,800060486.049671,716415715.91054,1250359572.52723,40759715.1900695,0.409939884732074,0.509293982574695,0.465425253771049,10.1820621811002,1.20844823527014e-06
322.014444739757,18033727552.2335,1518083253.99426,667526804.958412,1120050074.58499,597308067.543558,41864332.7774066,0.424236462682699,0.418071137402471,0.366453780848116,14.6081950050987,7.66797846498988e-07
324.208721114096,7862948209.87687,1388514318.53421,770407846.002357,1161259848.3684,771972862.262546,36586568.6801185,0.697386341888326,0.498350771748861,0.528394868676209,24.3384490253897,1.08437613848128e-06
426.603315049826,8500690242.40633,1066603262.75404,634834310.422935,1162343389.27868,1030367492.54121,37306557.1137516,0.295889372102815,0.34910708491006,0.617837123735641,18.0135838043398,1.36525933792776e-06
342.667594787297,9939401331.44766,810310746.936758,387084228.976925,613047332.45426,804691869.030913,29839768.2220585,0.679000449796549,0.305120239095316,0.248390223217465,16.8960278554019,9.67158182363618e-07
360.609997451486,14881619976.0824,763536086.799627,387343790.63997,641639687.390607,919188462.530043,46854184.9453348,0.284913888387266,0.360481115765153,0.372473241422421,20.0089374724413,1.11470438820613e-06
430.314987114205,17903571753.8389,1042349759.77202,354270513.394671,731021783.783906,936910897.97117,49755786.6749314,0.361216937025728,0.368005268029343,0.28511850830297,19.3102326984012,9.20825476948371e-07
419.400373460481,16990675918.634,1007593496.53201,723200429.775661,863619529.613871,522688281.07984,45526708.0808507,0.494296186293167,0.284269628528746,0.38036975381951,28.3202416138501,1.13240889396927e-06
437.016009951026,10135055129.5271,1176054411.18517,641286446.707249,941862696.665018,1267285764.01562,21331714.3296369,0.264602918043508,0.382325110934359,0.364406355931137,15.7530061865687,1.16118282185182e-06
357.821482329395,10422394680.8737,1172684590.04813,337153321.841165,560999515.353908,665290584.568922,61186570.6199784,0.632957899714397,0.257478525646024,0.531495730400122,18.9987024792933,5.74707336168161e-07
466.697699417033,17854638749.225,1326908061.16699,669268716.197391,536943198.973598,1193166543.30796,42951312.914267,0.526247224357427,0.473601717834394,0.499164266909423,18.7998196248045,5.23041748253819e-07
459.194064237953,11165274110.3971,1441970812.19769,625720693.100512,727050965.441677,462379850.878067,35764619.0964606,0.672472734162906,0.256353412356271,0.646133198930918,13.9150261794052,5.78785553381179e-07
