rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,alpha,beta
363.295478084563,13792220014.8143,1004463954.41775,654864693.243423,901534762.142244,870446634.022022,43669560.8385715,0.427224693110995,0.349283863529764,0.407978798310959,7.67537345862534,2.58654778244005e-07
381.794224877144,13786619957.863,1042584981.09389,645513884.663582,970862743.692972,992574011.989283,43905358.2473125,0.517554281118552,0.415993402096213,0.459135009950628,60.5290119072969,6.25022631849556e-07
375.865221477298,12709305642.4127,1015324394.70943,528100571.584899,833592823.320266,837979627.305927,48851255.7165735,0.491654485102427,0.300045447416376,0.485838070305012,66.2775960208951,1.62249068159323e-05
413.089052727495,14659042902.9878,1011277757.42988,596809148.595428,851035156.934556,880920419.038731,45368924.5179976,0.430901749231048,0.360010244290664,0.415532924405166,89.3073781095652,1.97418865200325e-05
361.059906205401,13059764944.0626,1312452870.34356,628608154.19358,811973543.393106,1028106215.19472,35702207.7084113,0.445332272530848,0.337116701262184,0.483673768908704,90.0278066682986,7.26506380988086e-06
429.34173514995,13373436541.5115,1198793238.27533,625863578.973707,763224625.301793,851390130.389014,48592659.6349769,0.41317709334185,0.38404531114724,0.401881238716715,9.96423029616137,3.46770087913912e-06
365.814705431622,15934615407.6674,1156287361.33833,585192856.334458,829698455.526884,721562603.100927,42225310.6686513,0.568984476535166,0.383448319958729,0.390440372301683,11.1533124684943,2.88196415203949e-06
458.705028717616,14411377726.356,1065984981.83568,544412857.393208,865512192.745092,810595199.570407,40866137.9406813,0.447549418611727,0.370240242849066,0.455249728567491,9.45978893449516,1.31589240824616e-05
361.588999409723,13694388727.9741,1117682124.82504,660085202.468672,790638183.253418,904173292.057759,39785295.064302,0.416235167912838,0.370648343082072,0.427580748690615,36.0656504813112,1.15471253197165e-05
429.25804467919,13708880369.9013,1317729340.55392,544286626.735832,744258522.045563,1049170547.22042,38349551.7907837,0.458169433223516,0.335117224895287,0.38395489326448,29.292655914394,5.0734924595873e-06
384.583348643186,15878099280.839,1008632276.90459,511379578.335213,884830361.71967,1020812675.62732,41285853.9491029,0.524691757177448,0.362943624858055,0.407477804206714,22.2880958438666,1.23665443288606e-06
370.101735234207,13000463018.1904,1067835949.45406,614550103.413245,879771699.022196,825605848.057758,43710263.7771533,0.491050157082176,0.366783106047171,0.425114799814361,99.1700005353602,4.54125226636509e-06
396.765529778278,14902178501.9466,1119355636.46063,640575197.637527,870079414.668445,902616721.571746,48989918.8609848,0.472752097401636,0.395749100544292,0.468844089625074,71.2122883405377,2.22879880743201e-06
381.996381373959,13945849683.3301,1165430211.38601,560599457.452859,995564805.836597,1071627830.27781,39188125.8494676,0.450799717070023,0.389172266634296,0.452525223716902,83.0613552616427,3.5839061145492e-07
404.606326700293,14545709191.5762,992750330.187396,609452389.734995,836693494.658267,979097398.689402,44576347.2911341,0.553570207307832,0.409054795036692,0.439475775187612,18.0845024472233,1.96016382563181e-05
404.481827707837,14619142953.4344,1142486420.52021,599050414.007352,702281899.784841,1090352233.79999,43787623.215639,0.429904100313849,0.363544006967398,0.504331228937631,44.2452519844677,4.66144504498573e-07
